areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2020-04-21,17105
overview,United Kingdom,K02000001,2020-04-20,17362
overview,United Kingdom,K02000001,2020-04-19,17482
overview,United Kingdom,K02000001,2020-04-18,17470
overview,United Kingdom,K02000001,2020-04-17,17330
overview,United Kingdom,K02000001,2020-04-16,18286
overview,United Kingdom,K02000001,2020-04-15,18560
overview,United Kingdom,K02000001,2020-04-14,19264
overview,United Kingdom,K02000001,2020-04-13,19404
overview,United Kingdom,K02000001,2020-04-12,19881
overview,United Kingdom,K02000001,2020-04-11,19527
overview,United Kingdom,K02000001,2020-04-10,19654
overview,United Kingdom,K02000001,2020-04-09,19530
overview,United Kingdom,K02000001,2020-04-08,19367
overview,United Kingdom,K02000001,2020-04-07,18985
overview,United Kingdom,K02000001,2020-04-06,18285
overview,United Kingdom,K02000001,2020-04-05,17805
overview,United Kingdom,K02000001,2020-04-04,16610
overview,United Kingdom,K02000001,2020-04-03,14751
overview,United Kingdom,K02000001,2020-04-02,13268
overview,United Kingdom,K02000001,2020-04-01,13113
overview,United Kingdom,K02000001,2020-03-31,12205
overview,United Kingdom,K02000001,2020-03-30,10732
overview,United Kingdom,K02000001,2020-03-29,9237
overview,United Kingdom,K02000001,2020-03-28,8019
overview,United Kingdom,K02000001,2020-03-27,7043
